cell_id,centroid_lon,centroid_lat,kecamatan,density,pop_density_norm,_poi_raw_count,working_pop_density,func_mixture_degree,recreational_density_raw,recreational_density,catering_density_raw,catering_density,commercial_density_raw,commercial_density,public_service_density_raw,public_service_density,open_space_density_raw,open_space_density,business_office_density_raw,business_office_density,floor_area_raw,floor_area_proxy,trunk_road_density_raw,secondary_road_density_raw,trunk_road_density,secondary_road_density,intersection_count,intersection_density,vendor_density,suitability_score,zone_class,predicted_density,sensitivity_zone,sensitivity_label,hotspot_class
0,107.55224999999999,-6.99775,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9678430668918323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,0.7749039324862467,416.7437032336123,2506.3887597834396,0.16108134050670578,0.25930550649915635,3.0,0.3641758009398765,24.7,0.4030111,Moderately Suitable,20.8094,1,Negative Sensitivity,Hot Spot (90%)
1,107.55224999999999,-6.99325,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9923655935606022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,0.8248714473809221,0.0,1483.1308656974902,0.0,0.15344147983150436,2.0,0.28860249407989835,18.6,0.35580736,Moderately Suitable,18.67459,1,Negative Sensitivity,Hot Spot (90%)
2,107.55224999999999,-6.988749999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9725575731176207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.0,0.8225884426311535,0.0,2827.6564886233004,0.0,0.2925431639948162,2.0,0.28860249407989835,20.5,0.36954197,Moderately Suitable,19.295742,1,Negative Sensitivity,Hot Spot (95%)
3,107.55224999999999,-6.984249999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8877616113147736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.7328299431452634,0.0,2389.602839327738,0.0,0.24722309025884712,3.0,0.3641758009398765,17.8,0.35171166,Moderately Suitable,18.489359,1,Negative Sensitivity,Hot Spot (95%)
4,107.55224999999999,-6.979749999999999,Jawa Barat,205400.0,0.45237821360786795,0.0,0.8709767880786815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,0.8526911577517425,0.0,3916.74883388426,0.0,0.4052182791819144,2.0,0.28860249407989835,20.0,0.35791352,Moderately Suitable,18.769842,1,Negative Sensitivity,Hot Spot (99%)
5,107.55224999999999,-6.97525,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9293766461366001,0.3068732785714349,0.0,0.0,0.0,0.0,1.0,0.15117821092177644,2.0,0.35541805240316376,0.0,0.0,3.0,0.4254921071067263,1175.0,0.8957766343683886,0.0,5925.4453085046935,0.0,0.6130336289441459,15.0,0.728351601879753,26.0,0.49649945,Moderately Suitable,25.037455,0,Positive Sensitivity,Hot Spot (99%)
6,107.55224999999999,-6.970749999999999,Jawa Barat,205400.0,0.45237821360786795,1.0,0.9958495606253371,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.35541805240316376,0.0,0.0,1.0,0.21274605355336315,1006.0,0.8761194689039015,1125.5554904461421,6765.243099989645,0.4350539331703191,0.6999172741200419,23.0,0.8348661954897131,27.4,0.5120661,Moderately Suitable,25.741463,0,Positive Sensitivity,Hot Spot (99%)
7,107.55224999999999,-6.96625,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9470562638875837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,0.8353607342543539,786.1377405980732,5692.237085767508,0.3038609104249979,0.5889064156055979,15.0,0.728351601879753,22.6,0.44235703,Moderately Suitable,22.588839,0,Positive Sensitivity,Hot Spot (95%)
8,107.55224999999999,-6.961749999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9991002149055676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.8772468416609104,0.0,4996.752189706566,0.0,0.5169530673743451,15.0,0.728351601879753,21.4,0.41616794,Moderately Suitable,21.404425,1,Negative Sensitivity,Not Significant
9,107.55224999999999,-6.957249999999998,Jawa Barat,205400.0,0.45237821360786795,0.0,0.9567225308599129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,0.7694749997355171,0.0,674.0627919172077,0.0,0.06973706412784474,1.0,0.18208790046993825,18.0,0.32131866,Not Suitable,17.11482,1,Negative Sensitivity,Hot Spot (90%)
